VALUE,Longitude,Latitude
1.00000000,77.2123289,28.8475349
1.00000000,77.2124313,28.8475332
1.00000000,77.2116099,28.8474564
1.00000000,77.2117123,28.8474548
1.00000000,77.2121221,28.8474480
1.00000000,77.2122245,28.8474464
1.00000000,77.2123270,28.8474447
1.00000000,77.2124294,28.8474430
1.00000000,77.2116080,28.8473662
1.00000000,77.2117104,28.8473646
1.00000000,77.2118129,28.8473629
1.00000000,77.2121202,28.8473578
1.00000000,77.2122226,28.8473562
1.00000000,77.2123251,28.8473545
1.00000000,77.2124275,28.8473528
1.00000000,77.2125300,28.8473511
1.00000000,77.2117085,28.8472744
1.00000000,77.2118109,28.8472727
1.00000000,77.2119134,28.8472710
1.00000000,77.2120158,28.8472693
1.00000000,77.2121183,28.8472676
1.00000000,77.2122207,28.8472660
1.00000000,77.2123232,28.8472643
1.00000000,77.2124256,28.8472626
1.00000000,77.2125280,28.8472609
1.00000000,77.1101820,28.8488115
1.00000000,77.1102844,28.8488099
1.00000000,77.2118090,28.8471825
1.00000000,77.2119115,28.8471808
1.00000000,77.2120139,28.8471791
1.00000000,77.2121164,28.8471775
1.00000000,77.2122188,28.8471758
1.00000000,77.2123212,28.8471741
1.00000000,77.2124237,28.8471724
1.00000000,77.2125261,28.8471707
1.00000000,77.2119096,28.8470906
1.00000000,77.2120120,28.8470889
1.00000000,77.2121145,28.8470873
1.00000000,77.2122169,28.8470856
1.00000000,77.2123193,28.8470839
1.00000000,77.2124218,28.8470822
1.00000000,77.2125242,28.8470805
1.00000000,77.2119077,28.8470004
1.00000000,77.2120101,28.8469987
1.00000000,77.2121125,28.8469971
1.00000000,77.2122150,28.8469954
1.00000000,77.2123174,28.8469937
1.00000000,77.2124199,28.8469920
1.00000000,77.2125223,28.8469903
1.00000000,77.1178603,28.8484204
1.00000000,77.2119058,28.8469102
1.00000000,77.2120082,28.8469086
1.00000000,77.2121106,28.8469069
1.00000000,77.2122131,28.8469052
1.00000000,77.2123155,28.8469035
1.00000000,77.2124180,28.8469018
1.00000000,77.2125204,28.8469001
1.00000000,77.2120063,28.8468184
1.00000000,77.2121087,28.8468167
1.00000000,77.2122112,28.8468150
1.00000000,77.2123136,28.8468133
1.00000000,77.2124161,28.8468116
1.00000000,77.2125185,28.8468100
1.00000000,77.2120044,28.8467282
1.00000000,77.2121068,28.8467265
1.00000000,77.2122093,28.8467248
1.00000000,77.2123117,28.8467231
1.00000000,77.2124141,28.8467214
1.00000000,77.1178548,28.8481498
1.00000000,77.1179572,28.8481482
1.00000000,77.2120025,28.8466380
1.00000000,77.2121049,28.8466363
1.00000000,77.2122073,28.8466346
1.00000000,77.2123098,28.8466329
1.00000000,77.2124122,28.8466312
1.00000000,77.2121030,28.8465461
1.00000000,77.2122054,28.8465444
1.00000000,77.2123079,28.8465427
1.00000000,77.2124103,28.8465411
1.00000000,77.2122035,28.8464542
1.00000000,77.2123060,28.8464525
1.00000000,77.2124084,28.8464509
1.00000000,77.2123041,28.8463623
1.00000000,77.2124065,28.8463607
1.00000000,77.1177450,28.8477907
1.00000000,77.2123022,28.8462722
1.00000000,77.2124046,28.8462705
1.00000000,77.1112889,28.8478017
1.00000000,77.1115962,28.8477969
1.00000000,77.1116987,28.8477953
